claim_ID,insured_amount,claim_amount,coverage_type,months_since_policy_start,province,claim_hour,previous_claim_count,sales_channel,customer_seniority_years,risk_zone,anomaly_score,suspicion_score,is_suspicious,UMAP_1,UMAP_2,cluster
1,2248000,335000.0,Glass,11,CABA,16,1,Branch,2.4,High,1,-0.21115706122582117,0,11.62179,5.32425,1
21,2733000,521000.0,Glass,37,CABA,21,1,Online,12.0,Low,1,-0.05787440277754252,0,13.015086,4.4392357,1
25,1728000,207000.0,Glass,24,Cordoba,3,1,Broker,3.9,Medium,1,-0.2055389677365589,0,11.01614,0.7043795,1
29,1700000,292000.0,Glass,43,Cordoba,18,1,Online,6.3,Medium,1,-0.18278371546039124,0,11.47531,6.8884416,1
32,2926000,419000.0,Glass,13,Cordoba,0,0,Call Center,1.9,Medium,1,-0.12871308807548193,0,10.4535885,2.5256443,1
38,1020000,315000.0,Glass,79,Mendoza,13,2,Call Center,2.0,Medium,1,-0.08906477809496527,0,7.5511813,5.291126,1
61,1760000,345000.0,Glass,11,Mendoza,7,0,Branch,3.6,High,1,-0.19329535436698286,0,12.238049,1.2279035,1
73,1982000,309000.0,Glass,15,CABA,21,2,Branch,0.4,Low,1,-0.17143458698811342,0,10.5068035,6.3452187,1
76,2411000,384000.0,Glass,18,Santa Fe,22,0,Online,1.5,Medium,1,-0.13322410650286837,0,12.070124,5.499495,1
87,2458000,193000.0,Glass,22,Mendoza,12,1,Branch,5.3,Medium,1,-0.18816042607050504,0,11.293378,3.8084078,1
88,2164000,286000.0,Glass,5,Santa Fe,9,6,Branch,0.9,Low,1,-0.12791053130894448,0,8.398838,0.85040003,1
89,1735000,281000.0,Glass,15,Cordoba,19,1,Broker,5.3,Medium,1,-0.198398589181908,0,12.8856325,6.051869,1
91,2049000,305000.0,Glass,14,Cordoba,12,4,Call Center,2.8,Low,1,-0.1725741703711613,0,9.639212,5.274255,1
95,1804000,360000.0,Glass,7,Santa Fe,10,2,Online,12.5,Medium,1,-0.17188016869218659,0,13.86628,2.661588,1
106,2202000,248000.0,Glass,14,Santa Fe,1,3,Call Center,10.6,Medium,1,-0.13788041691241343,0,13.005157,2.3121278,1
114,3232000,170000.0,Glass,9,CABA,11,1,Online,1.3,Medium,1,-0.1394954139453206,0,10.723465,4.0922484,1
116,2151000,279000.0,Glass,13,Buenos Aires,22,0,Branch,0.5,Low,1,-0.14840997262157823,0,12.262545,5.8173704,1
124,1299000,378000.0,Glass,9,Buenos Aires,12,2,Branch,6.3,Medium,1,-0.17538800128623222,0,13.150092,1.5425577,1
125,2293000,408000.0,Glass,84,Buenos Aires,2,0,Broker,0.5,High,1,-0.09976425422131618,0,7.909805,3.6350455,1
149,2261000,303000.0,Glass,18,CABA,11,3,Online,0.3,Medium,1,-0.19268477597361683,0,9.698825,3.798621,1
156,1643000,411000.0,Glass,5,Mendoza,19,0,Call Center,0.2,Medium,1,-0.1540661343562294,0,12.282066,6.793385,1
157,2933000,235000.0,Glass,10,Mendoza,22,0,Call Center,0.1,Medium,1,-0.10984925148866981,0,11.2696905,4.932245,1
164,1590000,327000.0,Glass,11,Mendoza,8,2,Broker,5.2,Low,1,-0.19995551545816387,0,13.026588,1.5366739,1
177,2007000,288000.0,Glass,7,Santa Fe,19,2,Call Center,2.4,High,1,-0.1992776601632122,0,10.628181,6.1269016,1
181,2313000,153000.0,Glass,116,Buenos Aires,18,1,Broker,3.5,Medium,1,-0.06669691165891778,0,7.550077,4.827151,1
186,2357000,377000.0,Glass,24,Cordoba,22,2,Online,6.8,High,1,-0.13933659049284303,0,12.668827,4.884342,1
194,1377000,112000.0,Glass,9,CABA,14,2,Broker,3.1,Medium,1,-0.15802154560168286,0,10.970504,7.475857,1
195,2087000,472000.0,Glass,3,Santa Fe,6,3,Call Center,10.1,Medium,1,-0.13057298640896325,0,13.130482,2.4031062,1
217,1614000,393000.0,Glass,61,Buenos Aires,8,0,Broker,1.9,Medium,1,-0.14242836363165323,0,7.8909984,4.0619283,1
220,2041000,418000.0,Glass,38,CABA,10,1,Broker,0.8,Medium,1,-0.18851502962661343,0,9.161611,2.9643488,1
225,1764000,301000.0,Glass,0,CABA,15,1,Broker,3.6,Low,1,-0.19462576633493678,0,12.437484,6.695121,1
231,1635000,290000.0,Glass,2,Buenos Aires,2,2,Broker,6.1,Low,1,-0.1738562692046291,0,12.680517,0.7231721,1
237,987000,286000.0,Glass,23,Mendoza,0,2,Broker,1.9,Low,1,-0.12701886532135914,0,10.995797,-0.26649863,1
241,1604000,136000.0,Glass,40,Cordoba,8,0,Broker,3.6,Medium,1,-0.15043924791813262,0,12.154431,1.9914522,1
242,1943000,264000.0,Glass,18,Santa Fe,23,0,Broker,1.8,Low,1,-0.12761575181108487,0,12.395919,6.181601,1
255,1240000,215000.0,Glass,1,CABA,5,2,Online,2.6,Medium,1,-0.16017585756857355,0,10.62546,-0.24405882,1
277,2100000,402000.0,Glass,33,Santa Fe,21,0,Broker,19.3,Medium,1,-0.05144113540526485,0,14.147919,4.1203165,1
278,1700000,233000.0,Glass,6,Buenos Aires,2,0,Broker,7.9,Medium,1,-0.1635745458558412,0,12.663228,1.0479152,1
291,1896000,205000.0,Glass,17,CABA,10,2,Call Center,10.9,Low,1,-0.17638964807083662,0,13.637258,2.5530994,1
323,1591000,263000.0,Glass,14,Mendoza,11,2,Online,2.5,Low,1,-0.20824514697810098,0,10.368719,-0.041528992,1
336,1926000,245000.0,Glass,26,CABA,11,1,Call Center,3.9,Medium,1,-0.21224823236081192,0,11.732343,3.1555166,1
345,1764000,373000.0,Glass,63,Mendoza,13,0,Branch,4.9,Low,1,-0.14119483301940788,0,7.974345,4.414523,1
348,1296000,211000.0,Glass,33,Buenos Aires,10,3,Branch,4.2,High,1,-0.16404817957769346,0,10.016961,0.09751545,1
